datetime,actual,predicted,Tariff,error,Anomaly
2024-07-22 14:35:00,0.687859253,0.684533,Normal Tariff,0.003326253007629343,Normal
2024-07-22 14:40:00,0.697336089,0.69140035,Normal Tariff,0.005935739859832756,Normal
2024-07-22 14:45:00,0.700393618,0.7005565,High Tariff ⚠,0.0001628986473388716,Normal
2024-07-22 14:50:00,0.709454325,0.7085964,High Tariff ⚠,0.0008579166328430698,Normal
2024-07-22 14:55:00,0.705901534,0.7025623,High Tariff ⚠,0.00333926145132446,Normal
2024-07-22 15:00:00,0.706600086,0.7070823,High Tariff ⚠,0.00048218557592771827,Normal
2024-07-22 15:05:00,0.702890394,0.7066276,High Tariff ⚠,0.0037372133455810808,Normal
2024-07-22 15:10:00,0.707613805,0.70656765,High Tariff ⚠,0.0010461599270630284,Normal
2024-07-22 15:15:00,0.705181153,0.7067303,High Tariff ⚠,0.0015491531485291032,Normal
2024-07-22 15:20:00,0.715363363,0.7067232,High Tariff ⚠,0.008640149804199249,Normal
2024-07-22 15:25:00,0.711371249,0.70659876,High Tariff ⚠,0.004772490302490273,Normal
2024-07-22 15:30:00,0.713345476,0.7180753,High Tariff ⚠,0.0047297994211426,Normal
2024-07-22 15:35:00,0.721369271,0.7174523,High Tariff ⚠,0.003916983326049839,Normal
2024-07-22 15:40:00,0.716630852,0.7175303,High Tariff ⚠,0.0008994581539611968,Normal
2024-07-22 15:45:00,0.721271037,0.7175303,High Tariff ⚠,0.0037407268460387666,Normal
2024-07-22 15:50:00,0.714048121,0.71710175,High Tariff ⚠,0.0030536317580260874,Normal
2024-07-22 15:55:00,0.714831263,0.71678185,High Tariff ⚠,0.001950591629516607,Normal
2024-07-22 16:00:00,0.709281051,0.71512383,High Tariff ⚠,0.005842781225799509,Normal
2024-07-22 16:05:00,0.716360709,0.7147797,High Tariff ⚠,0.0015810339931335848,Normal
2024-07-22 16:10:00,0.712640103,0.7146547,High Tariff ⚠,0.002014581066772436,Normal
2024-07-22 16:15:00,0.711238906,0.7147193,High Tariff ⚠,0.003480389501709036,Normal
2024-07-22 16:20:00,0.710161063,0.7035838,High Tariff ⚠,0.006577286049163855,Normal
2024-07-22 16:25:00,0.709487069,0.70346355,High Tariff ⚠,0.006023514617675807,Normal
2024-07-22 16:30:00,0.709727196,0.7035585,High Tariff ⚠,0.006168691418548589,Normal
2024-07-22 16:35:00,0.709761305,0.70310885,High Tariff ⚠,0.00665245785873414,Normal
2024-07-22 16:40:00,0.708064043,0.70314395,High Tariff ⚠,0.004920088722961458,Normal
2024-07-22 16:45:00,0.703714467,0.70314395,High Tariff ⚠,0.0005705127229613804,Normal
2024-07-22 16:50:00,0.707417337,0.702878,High Tariff ⚠,0.004539338647949198,Normal
2024-07-22 16:55:00,0.701999468,0.7026663,High Tariff ⚠,0.0006668146538085784,Normal
2024-07-22 17:00:00,0.701205411,0.70257163,High Tariff ⚠,0.0013662194779052728,Normal
2024-07-22 17:05:00,0.700953005,0.6934261,Normal Tariff,0.007526932402496356,Normal
2024-07-22 17:10:00,0.699849238,0.6932924,Normal Tariff,0.006556858620727524,Normal
2024-07-22 17:15:00,0.697797243,0.6934435,Normal Tariff,0.004353765846221935,Normal
2024-07-22 17:20:00,0.68215214,0.6934364,Normal Tariff,0.011284244201049787,Normal
2024-07-22 17:25:00,0.679787706,0.68528396,Normal Tariff,0.005496252911895705,Normal
2024-07-22 17:30:00,0.676412282,0.6783022,Normal Tariff,0.0018899464507751151,Normal
2024-07-22 17:35:00,0.672474742,0.67079294,Normal Tariff,0.0016818047212524556,Normal
2024-07-22 17:40:00,0.667561686,0.67082804,Normal Tariff,0.003266358414520276,Normal
2024-07-22 17:45:00,0.66558473,0.6635121,Normal Tariff,0.002072619289855915,Normal
2024-07-22 17:50:00,0.664167161,0.6634478,Normal Tariff,0.0007193637015685539,Normal
2024-07-22 17:55:00,0.656975626,0.65688354,Normal Tariff,9.208823068240779e-05,Normal
2024-07-22 18:00:00,0.651155271,0.65733063,Normal Tariff,0.006175361209777797,Normal
2024-07-22 18:05:00,0.646107143,0.64963627,Normal Tariff,0.003529125615722606,Normal
2024-07-22 18:10:00,0.64301687,0.643547,Normal Tariff,0.000530128500824012,Normal
2024-07-22 18:15:00,0.641768482,0.638676,Normal Tariff,0.003092494279510527,Normal
2024-07-22 18:20:00,0.639454529,0.6386689,Normal Tariff,0.0007856342322387633,Normal
2024-07-22 18:25:00,0.638210234,0.6386458,Normal Tariff,0.0004355937702331669,Normal
2024-07-22 18:30:00,0.636948202,0.6329685,Normal Tariff,0.003979716644622822,Normal
2024-07-22 18:35:00,0.634664265,0.63289076,Normal Tariff,0.0017735041014098618,Normal
2024-07-22 18:40:00,0.625850507,0.62805843,Normal Tariff,0.0022079265327148434,Normal
2024-07-22 18:45:00,0.636607112,0.62805843,Normal Tariff,0.008548678467285131,Normal
2024-07-22 18:50:00,0.630553452,0.6280355,Normal Tariff,0.002517966255523696,Normal
2024-07-22 18:55:00,0.630477048,0.62825483,Normal Tariff,0.002222217162750284,Normal
2024-07-22 19:00:00,0.625689513,0.63218427,Normal Tariff,0.006494754044067408,Normal
2024-07-22 19:05:00,0.630406101,0.63165355,Normal Tariff,0.0012474462869872527,Normal
2024-07-22 19:10:00,0.635778947,0.63167334,Normal Tariff,0.004105610970947304,Normal
2024-07-22 19:15:00,0.634563303,0.6378431,Normal Tariff,0.003279769414398226,Normal
2024-07-22 19:20:00,0.632380329,0.63797927,Normal Tariff,0.005598940027709998,Normal
2024-07-22 19:25:00,0.63453738,0.6379562,Normal Tariff,0.003418822030181845,Normal
2024-07-22 19:30:00,0.643221524,0.6379819,Normal Tariff,0.005239632367919911,Normal
2024-07-22 19:35:00,0.643067352,0.64340955,Normal Tariff,0.00034219818997194285,Normal
2024-07-22 19:40:00,0.644404423,0.64344466,Normal Tariff,0.0009597656742553751,Normal
2024-07-22 19:45:00,0.650601341,0.64874923,Normal Tariff,0.0018521087078247067,Normal
2024-07-22 19:50:00,0.651237132,0.6486849,Normal Tariff,0.00255221311953735,Normal
2024-07-22 19:55:00,0.656993362,0.6545269,Normal Tariff,0.0024664726758117927,Normal
2024-07-22 20:00:00,0.652574204,0.65409505,Normal Tariff,0.0015208496727905363,Normal
2024-07-22 20:05:00,0.653931741,0.6534905,Normal Tariff,0.00044125723916621507,Normal
2024-07-22 20:10:00,0.661851844,0.65397114,Normal Tariff,0.007880708383697477,Normal
2024-07-22 20:15:00,0.66048885,0.6623324,Normal Tariff,0.0018435655807494955,Normal
2024-07-22 20:20:00,0.659432836,0.6624917,Normal Tariff,0.0030588431915893333,Normal
2024-07-22 20:25:00,0.658424575,0.66247714,Normal Tariff,0.004052560658264204,Normal
2024-07-22 20:30:00,0.668451248,0.66245514,Normal Tariff,0.005996106455657957,Normal
2024-07-22 20:35:00,0.66936264,0.6687374,Normal Tariff,0.0006252285009765712,Normal
2024-07-22 20:40:00,0.668557668,0.6687725,Normal Tariff,0.00021485063479609323,Normal
2024-07-22 20:45:00,0.671972658,0.67642707,Normal Tariff,0.0044544083261414125,Normal
2024-07-22 20:50:00,0.671658856,0.67636275,Normal Tariff,0.00470389691442874,Normal
2024-07-22 20:55:00,0.674700012,0.67637396,Normal Tariff,0.0016739465876465243,Normal
2024-07-22 21:00:00,0.668358472,0.675314,Normal Tariff,0.006955537189605732,Normal
2024-07-22 21:05:00,0.671305487,0.6753914,Normal Tariff,0.004085889018524136,Normal
2024-07-22 21:10:00,0.678119095,0.67676204,Normal Tariff,0.0013570505702209523,Normal
2024-07-22 21:15:00,0.681897005,0.67815334,Normal Tariff,0.0037436689518737243,Normal
2024-07-22 21:20:00,0.687958851,0.6864728,Normal Tariff,0.0014860774480590644,Normal
2024-07-22 21:25:00,0.688069364,0.69381666,Normal Tariff,0.005747297834716836,Normal
2024-07-22 21:30:00,0.698233837,0.6938102,Normal Tariff,0.004423612466918914,Normal
2024-07-22 21:35:00,0.700455014,0.70221066,High Tariff ⚠,0.0017556507491455209,Normal
2024-07-22 21:40:00,0.705650492,0.70221066,High Tariff ⚠,0.0034398272508544547,Normal
2024-07-22 21:45:00,0.713275894,0.7110161,High Tariff ⚠,0.002259775473541281,Normal
2024-07-22 21:50:00,0.716756373,0.7211867,High Tariff ⚠,0.0044303244830627975,Normal
2024-07-22 21:55:00,0.720386932,0.72084314,High Tariff ⚠,0.0004562043105773572,Normal
2024-07-22 22:00:00,0.726301428,0.7217674,High Tariff ⚠,0.004534002462890596,Normal
2024-07-22 22:05:00,0.729963367,0.73323286,High Tariff ⚠,0.0032694887968139907,Normal
2024-07-22 22:10:00,0.732059022,0.7334582,High Tariff ⚠,0.0013991989587097686,Normal
2024-07-22 22:15:00,0.736132998,0.73425734,High Tariff ⚠,0.001875657568786604,Normal
2024-07-22 22:20:00,0.735225699,0.7344053,High Tariff ⚠,0.0008204198404541119,Normal
2024-07-22 22:25:00,0.740097825,0.74715316,High Tariff ⚠,0.007055337956237806,Normal
2024-07-22 22:30:00,0.740973743,0.74715877,High Tariff ⚠,0.006185022792846717,Normal
2024-07-22 22:35:00,0.74382116,0.7466169,High Tariff ⚠,0.0027957399671936223,Normal
2024-07-22 22:40:00,0.743493714,0.7466169,High Tariff ⚠,0.0031231859671936313,Normal
2024-07-22 22:45:00,0.741520851,0.7466169,High Tariff ⚠,0.005096048967193623,Normal
2024-07-22 22:50:00,0.748057494,0.7461624,High Tariff ⚠,0.0018950794492187395,Normal
2024-07-22 22:55:00,0.7453738,0.7457618,High Tariff ⚠,0.00038801173324587435,Normal
2024-07-22 23:00:00,0.748303079,0.74689835,High Tariff ⚠,0.0014047259001770396,Normal
2024-07-22 23:05:00,0.745304218,0.7459139,High Tariff ⚠,0.0006097047867126282,Normal
2024-07-22 23:10:00,0.741804637,0.7456673,High Tariff ⚠,0.003862641766632091,Normal
2024-07-22 23:15:00,0.743216749,0.7463352,High Tariff ⚠,0.0031184594159850976,Normal
2024-07-22 23:20:00,0.742840186,0.7460461,High Tariff ⚠,0.0032059398888244495,Normal
2024-07-22 23:25:00,0.74223441,0.7453787,High Tariff ⚠,0.0031442630766296276,Normal
2024-07-22 23:30:00,0.735083806,0.74470896,High Tariff ⚠,0.009625149287933343,Normal
2024-07-22 23:35:00,0.734645847,0.74369395,High Tariff ⚠,0.009048100792053204,Normal
2024-07-22 23:40:00,0.728368431,0.73010796,High Tariff ⚠,0.0017395320851745222,Normal
2024-07-22 23:45:00,0.727467955,0.73010796,High Tariff ⚠,0.0026400080851745056,Normal
2024-07-22 23:50:00,0.724817005,0.7289913,High Tariff ⚠,0.004174324669952378,Normal
2024-07-23 00:00:00,0.713464175,0.7091468,High Tariff ⚠,0.004317377342987094,Normal
2024-07-23 00:05:00,0.706383153,0.7108997,High Tariff ⚠,0.0045165576552124165,Normal
2024-07-23 00:10:00,0.702317364,0.7009057,High Tariff ⚠,0.001411683343566894,Normal
2024-07-23 00:15:00,0.696502466,0.6944388,Normal Tariff,0.0020636508831176625,Normal
2024-07-23 00:20:00,0.693764198,0.6944388,Normal Tariff,0.0006746171168823256,Normal
2024-07-23 00:25:00,0.688324499,0.68579423,Normal Tariff,0.002530264724182163,Normal
2024-07-23 00:30:00,0.683912163,0.6856912,Normal Tariff,0.0017790148450012033,Normal
2024-07-23 00:35:00,0.681041552,0.6779607,Normal Tariff,0.003080858163787892,Normal
2024-07-23 00:40:00,0.67699077,0.6779756,Normal Tariff,0.000984824997406042,Normal
2024-07-23 00:45:00,0.670956211,0.6698951,Normal Tariff,0.001061098485504175,Normal
2024-07-23 00:50:00,0.665950378,0.6695459,Normal Tariff,0.0035955109007568264,Normal
2024-07-23 00:55:00,0.660570711,0.66186523,Normal Tariff,0.001294523375000023,Normal
2024-07-23 01:00:00,0.656605884,0.65571994,Normal Tariff,0.0008859481059875218,Normal
2024-07-23 01:05:00,0.65100792,0.6507795,Normal Tariff,0.00022843429748531374,Normal
2024-07-23 01:10:00,0.647129048,0.65074754,Normal Tariff,0.003618489612914999,Normal
2024-07-23 01:15:00,0.644480827,0.64521646,Normal Tariff,0.0007356379963379123,Normal
2024-07-23 01:20:00,0.641629317,0.63839006,Normal Tariff,0.003239252760498079,Normal
2024-07-23 01:25:00,0.638914243,0.63841116,Normal Tariff,0.0005030787162475514,Normal
2024-07-23 01:30:00,0.6323776,0.6327394,Normal Tariff,0.0003618247055053869,Normal
2024-07-23 01:35:00,0.627931154,0.6275624,Normal Tariff,0.0003687503211059484,Normal
2024-07-23 01:40:00,0.62383262,0.621841,Normal Tariff,0.0019916065684508766,Normal
2024-07-23 01:45:00,0.620828302,0.621841,Normal Tariff,0.0010127114315490182,Normal
2024-07-23 01:50:00,0.615688762,0.61684144,Normal Tariff,0.0011526734324340815,Normal
2024-07-23 01:55:00,0.613092388,0.6113959,Normal Tariff,0.001696492518890369,Normal
2024-07-23 02:00:00,0.608300759,0.6065532,Normal Tariff,0.0017475620929565672,Normal
2024-07-23 02:05:00,0.605858557,0.6026096,Normal Tariff,0.0032489822052307327,Normal
2024-07-23 02:10:00,0.604581517,0.6026698,Normal Tariff,0.0019117415140075256,Normal
2024-07-23 02:15:00,0.600548472,0.59887457,Normal Tariff,0.001673903060791071,Normal
2024-07-23 02:20:00,0.598203139,0.59887457,Normal Tariff,0.0006714299392089895,Normal
2024-07-23 02:25:00,0.593444256,0.5952924,Normal Tariff,0.0018481333928528354,Normal
2024-07-23 02:30:00,0.591972113,0.5915462,Normal Tariff,0.00042593513592525944,Normal
2024-07-23 02:35:00,0.590034723,0.58796203,Normal Tariff,0.0020726916355591207,Normal
2024-07-23 02:40:00,0.585626479,0.58434486,Normal Tariff,0.001281615108398415,Normal
